Record_ID,Supply_Date,Zone,Distribution_Station,Water_Source,Supply_Volume_Liters,Consumption_Liters,Water_Loss_Liters,Pressure_PSI,Pipeline_ID,Leakage_Events,Water_Quality,PH_Value,Turbidity_NTU,Consumer_Count,Maintenance_Cost,System_Status
1,2026-01-25,Central,DS27,TreatmentPlant,72854.04,63503.1,9350.94,59.3,P480,4,Excellent,7.52,5.49,3240,91535.33,Normal
2,2026-03-29,North,DS11,TreatmentPlant,10989.33,9112.23,1877.1,34.9,P143,0,Excellent,6.52,4.63,4896,31194.67,Normal
3,2026-02-03,North,DS11,River,163173.87,150019.45,13154.42,72.6,P173,5,Poor,7.57,5.36,1354,23166.08,Normal
4,2026-01-19,North,DS12,Groundwater,130479.58,113023.42,17456.16,58.6,P295,2,Excellent,8.11,3.41,1144,53828.2,Maintenance
5,2026-01-25,Central,DS10,Groundwater,87431.83,66273.91,21157.92,25.3,P298,1,Excellent,7.13,3.02,922,89765.91,Normal
6,2026-06-23,North,DS1,River,152778.64,120693.18,32085.46,48.2,P521,5,Excellent,7.15,4.83,1236,67374.33,Maintenance
7,2026-04-03,North,DS19,River,157997.93,114399.66,43598.27,49.6,P686,0,Good,6.77,6.58,4805,88248.47,Normal
8,2026-06-25,South,DS14,Reservoir,69118.79,59602.42,9516.37,76.1,P208,3,Moderate,6.77,6.22,2887,59047.96,Normal
9,2026-06-04,South,DS10,River,139833.28,103052.95,36780.33,59.9,P814,4,Good,8.05,1.45,1307,58560.81,Maintenance
10,2026-06-27,West,DS25,River,157212.05,139306.36,17905.69,68.2,P760,4,Poor,7.16,3.42,4282,65623.31,Normal
11,2026-02-08,North,DS7,River,115749.7,113319.37,2430.33,69.0,P418,4,Moderate,7.66,7.01,2563,3612.46,Normal
12,2026-05-02,East,DS6,Reservoir,47298.35,45031.6,2266.75,22.3,P375,0,Poor,7.84,5.29,2412,6255.42,Normal
13,2026-03-22,West,DS2,Groundwater,13819.5,10600.1,3219.4,37.3,P177,2,Moderate,6.61,6.08,871,21450.7,Normal
14,2026-06-20,Central,DS30,TreatmentPlant,156751.6,106283.75,50467.85,51.1,P814,5,Excellent,7.54,4.2,3682,45083.5,Normal
